movieId,tmdbId,positive_probability,negative_probability,num_reviews,positive_percent,negative_percent
1.0,862.0,1.0,0.0,5,100.0,0.0
2.0,8844.0,0.5,0.5,2,50.0,50.0
6.0,949.0,1.0,0.0,6,100.0,0.0
7.0,11860.0,1.0,0.0,1,100.0,0.0
8.0,45325.0,0.5,0.5,2,50.0,50.0
10.0,710.0,0.7142857142857143,0.2857142857142857,7,71.43,28.57
12.0,12110.0,1.0,0.0,3,100.0,0.0
13.0,21032.0,1.0,0.0,1,100.0,0.0
14.0,10858.0,1.0,0.0,1,100.0,0.0
15.0,1408.0,0.75,0.25,4,75.0,25.0
16.0,524.0,1.0,0.0,2,100.0,0.0
17.0,4584.0,1.0,0.0,1,100.0,0.0
19.0,9273.0,0.0,1.0,2,0.0,100.0
20.0,11517.0,0.0,1.0,1,0.0,100.0
21.0,8012.0,1.0,0.0,3,100.0,0.0
22.0,1710.0,0.0,1.0,1,0.0,100.0
23.0,9691.0,0.0,1.0,2,0.0,100.0
24.0,12665.0,1.0,0.0,1,100.0,0.0
25.0,451.0,1.0,0.0,3,100.0,0.0
27.0,9263.0,1.0,0.0,1,100.0,0.0
28.0,17015.0,1.0,0.0,1,100.0,0.0
29.0,902.0,1.0,0.0,2,100.0,0.0
31.0,9909.0,1.0,0.0,2,100.0,0.0
32.0,63.0,1.0,0.0,4,100.0,0.0
34.0,9598.0,1.0,0.0,3,100.0,0.0
36.0,687.0,1.0,0.0,2,100.0,0.0
39.0,9603.0,1.0,0.0,3,100.0,0.0
41.0,31174.0,1.0,0.0,1,100.0,0.0
42.0,11443.0,0.3333333333333333,0.6666666666666666,3,33.33,66.67
43.0,35196.0,0.0,1.0,1,0.0,100.0
44.0,9312.0,0.5,0.5,2,50.0,50.0
45.0,577.0,1.0,0.0,3,100.0,0.0
47.0,807.0,0.8333333333333334,0.16666666666666666,6,83.33,16.67
48.0,10530.0,0.6666666666666666,0.3333333333333333,3,66.67,33.33
50.0,629.0,0.7777777777777778,0.2222222222222222,9,77.78,22.22
52.0,11448.0,1.0,0.0,2,100.0,0.0
54.0,26441.0,1.0,0.0,1,100.0,0.0
57.0,9089.0,1.0,0.0,1,100.0,0.0
58.0,11010.0,1.0,0.0,2,100.0,0.0
61.0,17182.0,0.0,1.0,1,0.0,100.0
62.0,2054.0,1.0,0.0,2,100.0,0.0
69.0,10634.0,1.0,0.0,2,100.0,0.0
70.0,755.0,0.5,0.5,4,50.0,50.0
71.0,11859.0,1.0,0.0,1,100.0,0.0
75.0,36929.0,1.0,0.0,1,100.0,0.0
76.0,9102.0,0.0,1.0,1,0.0,100.0
92.0,9095.0,0.0,1.0,1,0.0,100.0
96.0,40154.0,0.0,1.0,1,0.0,100.0
97.0,406.0,1.0,0.0,3,100.0,0.0
100.0,11062.0,0.6666666666666666,0.3333333333333333,3,66.67,33.33
101.0,13685.0,1.0,0.0,1,100.0,0.0
103.0,2045.0,0.0,1.0,1,0.0,100.0
104.0,9614.0,0.0,1.0,2,0.0,100.0
105.0,688.0,1.0,0.0,2,100.0,0.0
107.0,10874.0,1.0,0.0,1,100.0,0.0
110.0,197.0,1.0,0.0,4,100.0,0.0
111.0,103.0,0.75,0.25,4,75.0,25.0
112.0,33542.0,0.0,1.0,1,0.0,100.0
113.0,43566.0,0.0,1.0,1,0.0,100.0
123.0,11104.0,0.75,0.25,4,75.0,25.0
126.0,27793.0,1.0,0.0,1,100.0,0.0
132.0,11863.0,1.0,0.0,1,100.0,0.0
141.0,11000.0,1.0,0.0,1,100.0,0.0
145.0,9737.0,1.0,0.0,5,100.0,0.0
146.0,30765.0,0.0,1.0,1,0.0,100.0
150.0,568.0,1.0,0.0,2,100.0,0.0
151.0,11780.0,0.6666666666666666,0.3333333333333333,3,66.67,33.33
152.0,34996.0,0.5,0.5,2,50.0,50.0
153.0,414.0,0.25,0.75,4,25.0,75.0
154.0,649.0,1.0,0.0,3,100.0,0.0
158.0,8839.0,1.0,0.0,2,100.0,0.0
159.0,20649.0,0.6666666666666666,0.3333333333333333,3,66.67,33.33
160.0,10329.0,0.0,1.0,2,0.0,100.0
161.0,8963.0,0.6666666666666666,0.3333333333333333,3,66.67,33.33
163.0,8068.0,1.0,0.0,2,100.0,0.0
164.0,8512.0,1.0,0.0,1,100.0,0.0
165.0,1572.0,1.0,0.0,4,100.0,0.0
168.0,6520.0,0.25,0.75,4,25.0,75.0
169.0,9073.0,1.0,0.0,1,100.0,0.0
170.0,10428.0,0.5,0.5,2,50.0,50.0
171.0,17447.0,0.0,1.0,1,0.0,100.0
